[Mon Jun 06 18:03:51.914452 2016] [proxy:error] [pid 28733:tid 140389448779520] (111)Connection refused: AH00957: HTTP: attempt to connect to 139.59.184.15:3000 (garethferguson.co.uk) failed
[Mon Jun 06 18:03:51.914525 2016] [proxy:error] [pid 28733:tid 140389448779520] AH00959: ap_proxy_connect_backend disabling worker for (garethferguson.co.uk) for 60s
[Mon Jun 06 18:03:51.914532 2016] [proxy_http:error] [pid 28733:tid 140389448779520] [client 31.52.219.226:50326] AH01114: HTTP: failed to make connection to backend: garethferguson.co.uk
[Mon Jun 06 18:03:52.376484 2016] [proxy:error] [pid 28734:tid 140389406816000] [client 31.52.219.226:50327] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon.ico returned by /favicon.ico, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:07.939574 2016] [proxy:error] [pid 28734:tid 140389319173888] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000css returned by /css/main.min.css, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:08.018917 2016] [proxy:error] [pid 28733:tid 140389440386816] [client 31.52.219.226:50330] AH00898: DNS lookup failure for: garethferguson.co.uk:3000js returned by /js/build/production.min.js, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:08.024154 2016] [proxy:error] [pid 28734:tid 140389310781184] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000fonts returned by /fonts/fontawesome-webfont.woff, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:08.192046 2016] [proxy:error] [pid 28733:tid 140389431994112] [client 31.52.219.226:50330] AH00898: DNS lookup failure for: garethferguson.co.uk:3000fonts returned by /fonts/fontawesome-webfont.ttf, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:08.466020 2016] [proxy:error] [pid 28734:tid 140389302388480] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000css returned by /css/main.min.css, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:08.577245 2016] [proxy:error] [pid 28734:tid 140389293995776] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon-32x32.png returned by /favicon-32x32.png, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:08.631367 2016] [proxy:error] [pid 28734:tid 140389415208704] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon-16x16.png returned by /favicon-16x16.png, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:08.685098 2016] [proxy:error] [pid 28734:tid 140389285603072] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon-96x96.png returned by /favicon-96x96.png, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:08.751769 2016] [proxy:error] [pid 28734:tid 140389277210368] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon-160x160.png returned by /favicon-160x160.png, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:08.801445 2016] [proxy:error] [pid 28734:tid 140389268817664] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon-192x192.png returned by /favicon-192x192.png, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:12.242663 2016] [proxy:error] [pid 28734:tid 140389252032256] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000js returned by /js/build/production.min.js, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:12.349393 2016] [proxy:error] [pid 28734:tid 140389243639552] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000fonts returned by /fonts/fontawesome-webfont.woff, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:12.389895 2016] [proxy:error] [pid 28733:tid 140389423601408] [client 31.52.219.226:50330] AH00898: DNS lookup failure for: garethferguson.co.uk:3000css returned by /css/main.min.css, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:12.562950 2016] [proxy:error] [pid 28733:tid 140389415208704] [client 31.52.219.226:50330] AH00898: DNS lookup failure for: garethferguson.co.uk:3000fonts returned by /fonts/fontawesome-webfont.ttf, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:12.590353 2016] [proxy:error] [pid 28734:tid 140389235246848] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000css returned by /css/main.min.css, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:12.873569 2016] [proxy:error] [pid 28734:tid 140389226854144] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon-32x32.png returned by /favicon-32x32.png, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:13.047422 2016] [proxy:error] [pid 28734:tid 140389218461440] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon-16x16.png returned by /favicon-16x16.png, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:13.124168 2016] [proxy:error] [pid 28734:tid 140389423601408] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon-96x96.png returned by /favicon-96x96.png, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:13.208842 2016] [proxy:error] [pid 28734:tid 140389210068736] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon-160x160.png returned by /favicon-160x160.png, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:14.215803 2016] [proxy:error] [pid 28734:tid 140389201676032] [client 31.52.219.226:50328] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon-192x192.png returned by /favicon-192x192.png, referer: http://www.garethferguson.co.uk/
[Mon Jun 06 18:04:16.805939 2016] [proxy:error] [pid 28733:tid 140389252032256] [client 31.52.219.226:50338] AH00898: DNS lookup failure for: garethferguson.co.uk:3000images returned by /images/logos/ba.png, referer: http://garethferguson.co.uk/css/main.min.css
[Mon Jun 06 18:04:16.812017 2016] [proxy:error] [pid 28733:tid 140389235246848] [client 31.52.219.226:50336] AH00898: DNS lookup failure for: garethferguson.co.uk:3000images returned by /images/logos/very.png, referer: http://garethferguson.co.uk/css/main.min.css
[Mon Jun 06 18:04:16.821647 2016] [proxy:error] [pid 28733:tid 140389176497920] [client 31.52.219.226:50340] AH00898: DNS lookup failure for: garethferguson.co.uk:3000images returned by /images/logos/anglian.png, referer: http://garethferguson.co.uk/css/main.min.css
